symbol	score	entrez
ABCA7	4.0	10347.0
ADA	3.0	100.0
ADCY3	3.0	109.0
AHDC1	3.0	27245.0
APH1A	3.0	51107.0
ACTN4	4.0	81.0
ARHGAP11B	4.0	89839.0
BCKDK	2.0	10295.0
BRD4	4.0	23476.0
ATP1A1	4.0	476.0
CARD11	4.0	84433.0
CC2D1A	3.0	54862.0
CD276	4.0	80381.0
CDC42BPB	3.0	9578.0
CHD3	4.0	1107.0
CHMP1A	3.0	5119.0
CIC	2.0	23152.0
CMIP	4.0	80790.0
CNOT3	2.0	4849.0
CSNK1E	4.0	1454.0
CUL7	3.0	9820.0
CUX1	2.0	1523.0
CD99L2	4.0	83692.0
DEAF1	2.0	10522.0
DIP2A	3.0	23181.0
DNMT3A	3.0	1788.0
DVL3	4.0	1857.0
EHMT1	3.0	79813.0
ETFB	3.0	2109.0
EXOC3	4.0	11336.0
GIGYF1	3.0	64599.0
GNAS	4.0	2778.0
GNB1L	4.0	54584.0
GPX1	4.0	2876.0
GRID2IP	4.0	392862.0
GSTM1	4.0	2944.0
HDLBP	4.0	3069.0
HLA-A	4.0	3105.0
HLA-B	4.0	3106.0
HLA-G	4.0	3135.0
HRAS	4.0	3265.0
KCTD13	4.0	253980.0
KDM4B	4.0	23030.0
KDM6B	3.0	23135.0
KLF16	4.0	83855.0
LIN7B	4.0	64130.0
LZTR1	3.0	8216.0
MAPK3	4.0	5595.0
MBD6	4.0	114785.0
MBOAT7	2.0	79143.0
LZTS2	4.0	84445.0
MFRP	3.0	83552.0
MYO9B	3.0	4650.0
NACC1	4.0	112939.0
MNT	4.0	4335.0
PHF2	3.0	5253.0
PHRF1	3.0	57661.0
PITX1	4.0	5307.0
PLXNA3	4.0	55558.0
PNPLA7	4.0	375775.0
POMT1	4.0	10585.0
PPP2R5D	4.0	5528.0
PREX1	3.0	57580.0
PTK7	3.0	5754.0
RAB11FIP5	4.0	26056.0
RAB43	3.0	339122.0
PDK2	4.0	5164.0
RPL10	4.0	6134.0
SBF1	3.0	6305.0
SAMD11	4.0	148398.0
SEZ6L2	4.0	26470.0
SGSM3	4.0	27352.0
SHANK3	1.0	85358.0
SLC25A39	4.0	51629.0
SLC27A4	4.0	10999.0
SLC29A4	4.0	222962.0
SLC38A10	3.0	124565.0
SLC6A8	4.0	6535.0
SLC7A5	3.0	8140.0
SMARCC2	2.0	6601.0
SND1	4.0	27044.0
TAF1C	4.0	9013.0
TAF6	3.0	6878.0
TAOK2	2.0	9344.0
TSC2	3.0	7249.0
TSPAN17	4.0	26262.0
TRAF7	4.0	84231.0
VDR	4.0	7421.0
