symbol	score	entrez
C15orf62	4.0	643338.0
CCDC88C	4.0	440193.0
CELF4	3.0	56853.0
CASZ1	3.0	54897.0
CDH22	4.0	64405.0
GRIK4	4.0	2900.0
SETD1B	4.0	23067.0
SLC6A1	2.0	6529.0
TOP3B	4.0	8940.0
ZNF774	4.0	342132.0
ABCA7	4.0	10347.0
AGAP2	3.0	116986.0
AGBL4	4.0	84871.0
AGO1	3.0	26523.0
ANKRD11	2.0	29123.0
APH1A	3.0	51107.0
ARID1B	1.0	57492.0
ACTN4	4.0	81.0
BICDL1	4.0	92558.0
CACNA1H	2.0	8912.0
CACNA1I	4.0	8911.0
CARD11	4.0	84433.0
CC2D1A	3.0	54862.0
CD276	4.0	80381.0
CDC42BPB	3.0	9578.0
CHD3	4.0	1107.0
CHMP1A	3.0	5119.0
CHRNA7	3.0	1139.0
CIC	2.0	23152.0
CNOT3	2.0	4849.0
DNAH3	4.0	55567.0
DNER	4.0	92737.0
DNMT3A	3.0	1788.0
DLX2	4.0	1746.0
EHMT1	3.0	79813.0
GIGYF1	3.0	64599.0
GNB1L	4.0	54584.0
GSTM1	4.0	2944.0
IQSEC2	4.0	23096.0
KCTD13	4.0	253980.0
KDM5C	3.0	8242.0
KLF16	4.0	83855.0
LIN7B	4.0	64130.0
LZTR1	3.0	8216.0
MAPK3	4.0	5595.0
MDGA2	4.0	161357.0
LZTS2	4.0	84445.0
MTHFR	4.0	4524.0
NACC1	4.0	112939.0
NLGN2	4.0	57555.0
NR1D1	4.0	9572.0
MNT	4.0	4335.0
NRXN2	4.0	9379.0
PHRF1	3.0	57661.0
PITX1	4.0	5307.0
PLXNA3	4.0	55558.0
PLXNB1	3.0	5364.0
POMT1	4.0	10585.0
RAB11FIP5	4.0	26056.0
RAB43	3.0	339122.0
PDK2	4.0	5164.0
SBF1	3.0	6305.0
SETD5	1.0	55209.0
SEZ6L2	4.0	26470.0
SGSM3	4.0	27352.0
SLC27A4	4.0	10999.0
SLC29A4	4.0	222962.0
SMG6	4.0	23293.0
SRCAP	2.0	10847.0
TAF1C	4.0	9013.0
TAOK2	2.0	9344.0
TCF20	2.0	6942.0
TRAPPC9	3.0	83696.0
TSC2	3.0	7249.0
THRA	4.0	7067.0
TRAF7	4.0	84231.0
BCKDK	2.0	10295.0
BRD4	4.0	23476.0
CEP41	2.0	95681.0
CHD8	1.0	57680.0
CMIP	4.0	80790.0
CSNK1E	4.0	1454.0
CUL7	3.0	9820.0
CUX1	2.0	1523.0
CD99L2	4.0	83692.0
DEAF1	2.0	10522.0
DVL3	4.0	1857.0
DYNC1H1	3.0	1778.0
EP400	3.0	57634.0
EXOC3	4.0	11336.0
GNAS	4.0	2778.0
HDLBP	4.0	3069.0
HRAS	4.0	3265.0
KDM4B	4.0	23030.0
KDM6B	3.0	23135.0
MBD1	4.0	4152.0
MBOAT7	2.0	79143.0
MTF1	4.0	4520.0
MYO9B	3.0	4650.0
PHF2	3.0	5253.0
PPP2R5D	4.0	5528.0
RAB2A	3.0	5862.0
RERE	4.0	473.0
RPL10	4.0	6134.0
SETDB1	4.0	9869.0
SIN3A	4.0	25942.0
SLC38A10	3.0	124565.0
SLC6A8	4.0	6535.0
SMARCC2	2.0	6601.0
SND1	4.0	27044.0
TAF6	3.0	6878.0
TBL1X	4.0	6907.0
TERF2	3.0	7014.0
TSPAN17	4.0	26262.0
UBE2H	4.0	7328.0
