IQGAP3
ZNF774
RIMS3
CDH8
CDH10
CDH13
CIB2
TBR1
CHD2
ADCY5
PTPRT
IL1RAPL1
CHRM3
CHRNB3
AGAP2
CNR1
ADORA3
PYHIN1
CTNND2
CYLC2
DDC
DLX2
DLX6
DPP6
DRD1
DRD2
DRD3
DSCAM
AGTR2
ELAVL2
ELAVL3
EN2
KHDRBS2
ESR2
ESRRB
NLGN4Y
NTNG1
CNKSR2
SHANK2
RIMS1
UNC13A
MYO16
MYT1L
KANK1
PLCB1
SMG6
AFF2
ATP6V0A2
GABRA4
GABRB3
GABRG3
CNTNAP2
SLITRK5
OR2M4
IL1RAPL2
DISC1
PCDH11X
GLRA2
ANK2
GRIA1
GRID2
GRIK2
GRIK3
GRIK5
GRIN1
GRIN2A
GRIN2B
CTNNA3
GRM5
GRM7
APBA2
HTR1B
HTR3A
ICA1
FAM92B
ZNF517
NEXMIF
KRT26
ITGB3
GALNT8
KCNC1
KCND2
KCND3
KCNJ10
KCNMA1
KCNQ2
KCNQ3
LMX1B
LRP2
MARK1
ACHE
TRPM1
ASMT
MTHFR
MUC4
NRCAM
ATP2B2
NTRK1
NTRK3
OXT
OXTR
PAH
PRKN
PAX5
SHANK1
PDE1C
FBXO40
BCL11A
CNTN5
SNTG2
NLGN3
PON1
MAGEL2
CNGB3
RBFOX1
HYDIN
FEZF2
AVPR1A
AVPR1B
STYK1
DNAH3
PRKCB
ASH1L
PCDHA12
PCDHA10
PCDHA7
PCDHA3
PCDHA2
RELN
CELF4
SLC12A5
PTPRB
RFX3
RGS7
RIT2
SCN2A
SCN4A
SCN8A
SHOX
WNK3
SLC6A1
SLC6A4
SNAP25
STX1A
SYN1
SYN2
TBX1
TCF20
TDO2
TECTA
THRA
TPO
TRPC6
VIL1
DAGLA
WNT1
CACNA1B
CACNA1D
CACNA1E
CACNA1F
CACNA2D1
CACNB2
CAMK4
CAMK2A
IMMP2L
BCAS1
CADPS
NRP2
CACNA1I
CACNA1H
CACNA1G
PLXNA4
DLGAP2
DLGAP1
TSPOAP1
NRXN3
NRXN1
NRXN2
FOXP2
GABBR2
NR1D1
SRGAP3
CDH9
FCRL6
PCDHA8
ST8SIA2
MUC12
PARD3B
DUSP15
CAPN12
DNAH10
ZNF626
FGA
GRIK4
CASZ1
HECW2
PCDH10
C15orf62
CDH22
C4B
SYNGAP1
OR2T10
GRIP1
SLC24A2
UNC80
GRID1
KCNJ15
MSR1
ROBO2
LAMA1
PCDH15
KCNK7
CECR2
LRFN2
ASXL3
BICDL1
PTCHD1
LRFN5
CNTN4
MDGA2
ERG
VASH1
NLGN1
NXPH1
PLN
NLGN2
GDA
OR52M1
PCDHA13
PCDHA11
PCDHA4
PCDHA1
UNC79
ABCA10
CX3CR1
ADORA2A
FAM47A
DDX53
SSPO
NAALADL2
OTX1
PIK3CG
PCDHA6
PCDHA5
DPP10
CELF6
SCN1A
TTN
AGBL4
CADM2
KATNAL2
ATP10A
RAI1
PCDHAC1
MACROD2
ARID1B
CSMD1
ACE
IQSEC2
EXOC6B
ODF3L2
LEP
PDCD1
PRODH
ANKS1B
ZBTB16
GALNT14
PPP1R1B
MEGF11
CHRNA7
DLGAP3
GALNT13
HS3ST5
COL28A1
LRRC4
OPHN1
RAPGEF4
GLIS1
OTUD7A
ATP1A3
GPR85
CACNA2D3
CNTNAP4
CNTNAP5
DYDC1
ABCA13
DLX3
CUX2
RAD21L1
SLC6A3
CA6
PCDHA9
PCDHAC2
SLC4A10
MEGF10
KIRREL3
SLC7A3
OR1C1
CYP11B1
AMPD1
SPP2
DNAH17
ZNF804A
SLC22A9
NLGN4X
SCN9A
RHOXF1
GUCY1A2
TERB2
SLCO1B3
HIVEP3
CNTN6
AZGP1
CLTCL1
HTR3C
GPR37
WDFY4
TTC25
ERMN
DYDC2
RANBP17
HSD11B1
MYH4
AGMO
USH2A
FRK
