SERPINE1
PLAUR
PXDN
RASSF5
CGNL1
P4HA2
WWOX
RPS6KA2
EPHB2
DIP2C
ANK3
AR
KIF5C
MET
MYO5A
NPAS2
PCDH9
PRKCA
SLC1A1
DST
STXBP1
THBS1
TSPAN7
TRIO
SEMA5A
SLC25A27
ARNT2
MAOB
NFIB
DOCK4
CADM1
NBEA
SYT17
SPARCL1
GPC6
CDH11
PRICKLE1
DPYSL3
PSD3
TANC2
LAMB1
PBX1
MBD5
TCF4
NR2F1
NAV2
AGAP1
PRUNE2
PRICKLE2
DOCK1
DPP4
EXT1
GPC4
ARHGEF9
SASH1
SYNE1
NEGR1
ZBTB20
SLC9A9
MEF2C
MYH10
MYO1E
NEO1
PTGS2
TSHZ3
ZNF462
SDC2
DIXDC1
DNER
CADPS2
ARHGEF10
NUAK1
PATJ
NR3C2
NR4A2
ARHGAP32
MYO5C
CLN8
CNTN3
ASTN2
ABAT
NINL
TBC1D5
CNTNAP3
KCNS3
MAOA
ELOVL2
EPPK1
AMT
RAB39B
ZNF385B
KIF13B
CTTNBP2
SETBP1
ADRB2
GAS2
FHIT
NCKAP5
IL1R2
CD38
